Start of the Ejecta,End of the Ejecta,MC
,1999-12-14T10:34:30,1999-12-14T19:30:45
,1999-12-26T08:33:25,1999-12-26T22:39:30
,1999-12-27T19:07:30,1999-12-28T02:00:00
2000-02-11T02:35:14,2000-02-11T16:17:37,2000-02-12T02:55:07
2000-02-11T23:31:07,2000-02-12T17:28:30,2000-02-13T00:35:37
2000-02-20T21:02:15,2000-02-21T13:21:00,2000-02-22T12:13:30
,2000-03-01T03:33:44,2000-03-01T18:57:45
,2000-03-01T20:16:07,2000-03-02T03:04:30
,2000-03-19T17:49:01,2000-03-19T23:07:58
,2000-03-20T00:16:18,2000-03-20T05:35:14
,2000-03-29T23:44:15,2000-03-30T14:35:15
,2000-03-31T03:09:00,2000-04-01T07:12:00
2000-04-06T16:32:15,2000-04-07T09:11:15,2000-04-08T06:00:00
,2000-04-18T20:33:00,2000-04-19T02:19:30
,2000-04-19T05:24:00,2000-04-19T12:00:00
,2000-04-24T04:25:30,2000-04-24T13:39:00
,2000-05-07T08:33:00,2000-05-08T00:36:00
,2000-05-13T17:14:37,2000-05-14T11:48:05
2000-06-08T09:04:30,2000-06-08T16:59:15,2000-06-10T00:56:15
,2000-06-11T09:22:30,2000-06-11T17:28:30
,2000-06-18T12:40:30,2000-06-18T18:20:15
2000-06-23T12:45:00,2000-06-24T07:32:15,2000-06-26T00:42:45
,2000-07-01T08:24:00,2000-07-02T10:03:00
,2000-07-11T03:09:00,2000-07-11T13:00:45
2000-07-11T12:09:00,2000-07-11T23:17:15,2000-07-12T05:48:45
,2000-07-12T09:04:30,2000-07-13T03:51:44
2000-07-15T14:33:00,2000-07-15T19:52:30,2000-07-16T23:21:45
2000-07-19T15:31:30,2000-07-20T09:58:30,2000-07-21T06:27:00
2000-07-26T03:56:14,2000-07-27T09:04:30,2000-07-27T20:53:15
2000-07-28T06:36:00,2000-07-28T13:03:00,2000-07-29T10:12:00
2000-08-10T05:04:52,2000-08-10T20:20:37,2000-08-12T01:13:07
2000-08-11T18:49:30,2000-08-12T06:34:52,2000-08-13T23:00:22
,2000-09-02T23:28:30,2000-09-03T13:48:00
2000-09-04T13:03:00,2000-09-04T21:58:52,2000-09-05T10:53:26
,2000-09-06T02:30:00,2000-09-06T20:37:30
2000-09-06T17:01:30,2000-09-06T20:55:30,2000-09-07T12:40:30
2000-09-17T16:30:00,2000-09-17T23:26:15,2000-09-21T08:37:30
2000-10-03T01:03:00,2000-10-03T12:09:00,2000-10-05T06:27:00
2000-10-05T03:27:00,2000-10-05T23:06:00,2000-10-06T18:17:59
,2000-10-13T17:42:22,2000-10-14T15:30:05
2000-10-28T09:27:00,2000-10-28T22:33:23,2000-10-29T23:21:45
2000-11-06T09:21:39,2000-11-06T22:30:50,2000-11-07T17:42:16
,2000-11-07T20:30:28,2000-11-08T03:18:00
2000-11-28T05:28:30,2000-11-28T22:27:45,2000-11-29T20:57:45
2000-12-03T03:54:00,2000-12-03T14:15:00,2000-12-05T07:12:00
2000-12-22T19:40:18,2000-12-23T00:50:15,2000-12-23T11:56:26
2001-01-23T10:48:00,2001-01-24T09:13:30,2001-01-25T21:44:59
,2001-01-26T03:22:30,2001-01-26T14:55:30
2001-03-03T11:21:45,2001-03-04T05:56:57,2001-03-04T13:00:45
,2001-03-04T16:09:45,2001-03-05T02:57:45
2001-03-19T11:33:00,2001-03-19T19:39:00,2001-03-21T23:42:00
2001-03-31T01:21:00,2001-03-31T06:18:00,2001-03-31T12:22:30
,2001-03-31T13:30:00,2001-03-31T21:22:30
,2001-04-01T05:26:48,2001-04-02T19:50:15
2001-04-04T14:37:30,2001-04-04T21:00:00,2001-04-05T09:03:23
2001-04-08T11:21:45,2001-04-09T01:18:33,2001-04-10T10:57:00
2001-04-11T14:12:45,2001-04-12T08:44:31,2001-04-13T08:36:39
2001-04-13T07:21:00,2001-04-13T13:16:30,2001-04-14T11:18:05
2001-04-18T00:47:15,2001-04-18T12:22:30,2001-04-20T11:37:30
2001-04-21T15:24:45,2001-04-22T00:18:00,2001-04-23T00:02:15
2001-04-28T05:03:45,2001-04-28T15:45:00,2001-05-02T05:15:00
,2001-05-03T12:00:00,2001-05-04T09:04:30
,2001-05-07T22:16:30,2001-05-08T10:30:00
,2001-05-09T14:28:30,2001-05-10T11:57:45
,2001-05-11T14:18:45,2001-05-12T00:07:30
2001-05-27T14:44:15,2001-05-28T04:54:45,2001-05-29T22:12:00
,2001-06-07T21:09:00,2001-06-08T07:43:30
,2001-06-19T00:40:30,2001-06-19T14:24:00
