Start of the Ejecta,End of the Ejecta,MC
,2014-04-29T19:27:45,2014-04-30T16:03:00
,2014-05-30T12:49:30,2014-06-01T05:53:15
2014-06-07T16:11:59,2014-06-08T19:03:00,2014-06-10T10:03:00
,2014-06-22T18:36:00,2014-06-23T23:15:00
,2014-07-13T10:39:00,2014-07-14T08:28:30
2014-08-19T05:51:00,2014-08-19T17:26:15,2014-08-21T05:26:15
2014-08-26T02:46:29,2014-08-27T00:58:30,2014-08-27T21:58:30
2014-09-12T15:18:00,2014-09-12T21:36:00,2014-09-14T11:37:30
2014-12-21T18:40:00,2014-12-22T00:25:00,2014-12-22T20:55:00
2014-12-22T14:30:00,2014-12-23T01:35:00,2014-12-23T10:39:59
2014-12-23T10:40:42,2014-12-24T11:54:17,2014-12-26T15:54:17
2015-01-02T06:34:17,2015-01-02T14:34:17,2015-01-02T20:25:42
,2015-01-03T17:17:08,2015-01-04T06:34:17
2015-01-07T05:47:08,2015-01-07T07:49:17,2015-01-07T20:21:25
,2015-01-11T10:54:06,2015-01-11T19:23:50
2015-03-17T04:00:00,2015-03-17T13:08:34,2015-03-17T23:21:25
,2015-03-17T23:51:25,2015-03-18T04:34:17
,2015-03-21T20:18:12,2015-03-22T02:06:25
,2015-03-22T11:12:51,2015-03-22T23:42:51
2015-03-31T07:31:49,2015-03-31T18:07:25,2015-04-01T09:52:15
,2015-04-30T05:33:00,2015-05-01T12:36:00
2015-05-06T01:00:00,2015-05-06T16:51:25,2015-05-07T15:17:08
,2015-05-07T21:42:51,2015-05-08T03:00:00
,2015-05-08T06:51:25,2015-05-09T11:00:00
,2015-05-10T12:42:51,2015-05-11T04:08:34
2015-05-18T19:42:51,2015-05-18T22:36:25,2015-05-19T01:55:42
,2015-05-20T17:00:00,2015-05-21T06:17:08
2015-06-16T18:08:34,2015-06-17T05:17:08,2015-06-18T00:08:34
2015-06-21T16:10:42,2015-06-21T21:32:08,2015-06-22T05:08:34
2015-06-22T05:08:34,2015-06-23T01:36:25,2015-06-23T11:34:17
2015-06-22T18:12:51,2015-06-23T13:55:42,2015-06-24T13:10:42
2015-06-24T13:25:42,2015-06-25T09:00:00,2015-06-26T06:25:42
,2015-07-13T01:17:08,2015-07-14T21:42:51
2015-08-07T05:30:00,2015-08-07T14:38:34,2015-08-08T13:12:51
2015-08-15T07:47:08,2015-08-15T20:42:51,2015-08-16T06:51:25
,2015-08-21T22:36:25,2015-08-22T13:55:42
,2015-08-26T08:42:51,2015-08-27T04:08:34
,2015-08-27T09:00:00,2015-08-28T17:17:08
2015-09-07T13:08:34,2015-09-08T02:08:34,2015-09-09T11:17:08
,2015-09-17T08:55:10,2015-09-17T19:44:43
2015-10-24T18:12:51,2015-10-25T12:51:25,2015-10-28T10:04:17
2015-11-06T17:51:25,2015-11-07T06:51:25,2015-11-08T16:08:34
2015-12-31T00:27:51,2015-12-31T17:57:51,2016-01-01T12:00:00
