"ICME1
start time","MO2
start time","MO/ICME
end time"
2000 07/11 22:35,2000 07/11 22:35,2000 07/13 04:33
2000 07/13 09:59,2000 07/13 15:35,2000 07/14 15:35
2000 07/15 02:23,2000 07/15 06:47,2000 07/15 14:18
2000 07/15 14:23,2000 07/15 17:31,2000 07/16 13:28
2000 07/19 15:30,2000 07/19 15:30,2000 07/21 05:31
2000 07/28 06:38,2000 07/28 14:24,2000 07/29 10:06
2000 07/31 23:28,2000 07/31 23:28,2000 08/01 13:11
2000 08/10 05:13,2000 08/10 20:52,2000 08/11 18:43
2000 08/11 18:49,2000 08/12 06:05,2000 08/13 05:05
2000 09/02 23:16,2000 09/02 23:16,2000 09/03 22:32
2000 09/04 13:13,2000 09/04 13:13,2000 09/06 16:47
2000 09/06 17:02,2000 09/07 03:24,2000 09/08 14:22
2000 09/17 16:04,2000 09/18 01:53,2000 09/19 12:00
2000 10/03 01:02,2000 10/03 09:36,2000 10/05 03:34
2000 10/05 03:28,2000 10/05 19:11,2000 10/06 19:39
2000 10/12 22:33,2000 10/13 18:24,2000 10/14 19:12
2000 10/28 06:38,2000 10/28 23:18,2000 10/30 00:16
2000 11/06 09:30,2000 11/06 23:05,2000 11/07 18:05
2000 11/10 06:20,2000 11/10 11:02,2000 11/11 04:18
2000 11/11 04:11,2000 11/11 04:11,2000 11/11 23:59
2000 11/26 11:43,2000 11/27 09:30,2000 11/28 09:36
2000 12/03 03:59,2000 12/03 03:59,2000 12/05 03:06
2001 01/23 10:47,2001 01/24 08:38,2001 01/25 19:12
2001 03/04 05:45,2001 03/04 05:45,2001 03/05 23:04
2001 03/19 11:33,2001 03/19 19:55,2001 03/20 18:17
2001 03/20 18:17,2001 03/20 18:17,2001 03/22 00:00
2001 03/27 01:59,2001 03/27 01:59,2001 03/28 14:23
2001 04/04 14:39,2001 04/04 20:54,2001 04/05 08:22
2001 04/11 14:09,2001 04/11 22:48,2001 04/12 17:58
2001 04/13 07:26,2001 04/13 13:11,2001 04/14 01:39
2001 04/21 15:29,2001 04/22 00:28,2001 04/23 01:11
2001 04/28 05:00,2001 04/28 17:59,2001 05/02 04:48
2001 05/27 14:45,2001 05/28 07:12,2001 05/29 21:34
2001 06/27 05:59,2001 06/27 05:59,2001 06/29 02:23
2001 08/05 12:28,2001 08/06 06:43,2001 08/06 23:59
2001 08/17 11:01,2001 08/17 23:59,2001 08/18 19:12
2001 09/25 20:16,2001 09/26 10:04,2001 09/26 16:47
2001 09/29 09:28,2001 09/29 14:23,2001 09/30 19:14
2001 09/30 19:14,2001 09/30 22:33,2001 10/01 21:34
2001 10/02 23:24,2001 10/02 23:24,2001 10/03 16:31
2001 10/21 16:39,2001 10/22 01:17,2001 10/23 00:47
2001 10/28 03:13,2001 10/29 16:19,2001 10/30 10:47
2001 10/31 13:46,2001 10/31 22:04,2001 11/02 04:47
2001 11/24 05:51,2001 11/24 15:47,2001 11/25 13:17
2001 12/29 05:16,2001 12/30 03:24,2001 12/30 19:10
2001 12/30 20:05,2001 12/30 23:10,2001 12/31 07:46
2002 02/28 05:06,2002 02/28 19:11,2002 03/01 23:15
2002 03/18 13:14,2002 03/19 06:14,2002 03/20 15:36
2002 03/23 11:24,2002 03/24 13:11,2002 03/25 21:36
2002 04/14 12:56,2002 04/14 15:21,2002 04/15 04:22
2002 04/17 11:01,2002 04/17 21:36,2002 04/19 08:22
2002 04/19 08:24,2002 04/20 06:57,2002 04/21 21:36
2002 04/23 05:00,2002 04/24 07:11,2002 04/24 23:59
2002 05/10 11:09,2002 05/10 22:20,2002 05/11 10:36
2002 05/11 10:30,2002 05/11 12:37,2002 05/11 20:23
2002 05/18 19:45,2002 05/19 03:30,2002 05/20 03:34
2002 05/20 03:35,2002 05/20 16:47,2002 05/21 21:35
2002 05/23 10:44,2002 05/23 23:02,2002 05/25 19:12
2002 07/17 15:56,2002 07/18 13:26,2002 07/19 09:35
2002 08/01 05:12,2002 08/01 12:14,2002 08/01 23:15
2002 08/01 23:09,2002 08/02 07:12,2002 08/02 21:34
2002 08/18 18:40,2002 08/19 19:12,2002 08/21 13:25
2002 08/26 11:16,2002 08/26 14:23,2002 08/27 10:47
2002 09/03 02:23,2002 09/03 04:47,2002 09/04 01:12
2002 09/30 07:54,2002 09/30 22:04,2002 10/01 20:08
2002 11/16 23:16,2002 11/17 20:24,2002 11/18 23:58
2002 12/21 03:21,2002 12/21 10:20,2002 12/22 15:36
2003 01/26 21:43,2003 01/27 01:40,2003 01/27 16:04
2003 02/01 13:06,2003 02/02 19:11,2003 02/03 09:35
2003 03/20 04:30,2003 03/20 11:54,2003 03/20 22:22
2003 05/09 05:16,2003 05/09 09:27,2003 05/10 23:07
2003 06/16 22:33,2003 06/17 17:48,2003 06/18 08:18
2003 08/04 20:23,2003 08/05 01:10,2003 08/06 02:23
2003 10/21 22:00,2003 10/22 02:24,2003 10/24 02:24
2003 10/29 06:00,2003 10/29 11:16,2003 10/30 01:55
2003 10/30 16:12,2003 10/31 02:00,2003 10/31 12:00
2003 11/20 08:35,2003 11/20 11:31,2003 11/21 01:40
2004 01/09 15:00,2004 01/10 06:01,2004 01/11 05:02
2004 04/03 09:55,2004 04/04 01:11,2004 04/05 19:11
2004 07/22 09:45,2004 07/22 13:26,2004 07/24 05:45
2004 07/24 05:32,2004 07/24 07:12,2004 07/25 14:37
2004 07/25 17:45,2004 07/25 17:45,2004 07/26 03:34
2004 07/26 22:25,2004 07/27 01:12,2004 07/27 23:58
2004 08/29 09:09,2004 08/29 19:26,2004 08/30 21:21
2004 09/13 19:42,2004 09/14 17:59,2004 09/15 14:23
2004 09/17 20:52,2004 09/18 12:28,2004 09/19 16:58
2004 11/07 17:58,2004 11/07 22:46,2004 11/09 09:20
2004 11/09 18:25,2004 11/09 20:38,2004 11/10 16:47
2004 11/11 16:47,2004 11/12 08:35,2004 11/13 09:35
2004 12/10 04:47,2004 12/10 04:47,2004 12/10 21:35
2005 01/07 08:44,2005 01/07 14:23,2005 01/08 07:12
2005 01/08 15:12,2005 01/08 20:51,2005 01/09 17:45
2005 01/16 09:27,2005 01/16 15:35,2005 01/17 07:00
2005 01/18 21:35,2005 01/19 00:28,2005 01/20 02:23
2005 01/21 16:58,2005 01/21 23:45,2005 01/22 19:12
2005 02/16 10:33,2005 02/16 12:14,2005 02/16 23:30
2005 02/17 21:35,2005 02/18 14:52,2005 02/19 08:23
2005 02/20 15:32,2005 02/20 20:23,2005 02/22 07:11
2005 05/15 02:10,2005 05/15 05:31,2005 05/16 22:47
2005 05/20 04:47,2005 05/20 09:35,2005 05/22 02:23
2005 06/12 06:57,2005 06/12 15:07,2005 06/13 17:59
2005 06/14 17:55,2005 06/15 05:08,2005 06/16 08:23
2005 07/10 02:42,2005 07/10 10:47,2005 07/12 14:23
2005 07/17 14:52,2005 07/17 14:52,2005 07/18 05:59
2005 08/10 04:47,2005 08/10 06:14,2005 08/10 13:26
2005 10/31 02:23,2005 10/31 02:23,2005 10/31 18:42
2006 02/05 18:14,2006 02/05 20:23,2006 02/06 11:59
2006 04/13 13:26,2006 04/13 15:07,2006 04/14 11:02
2006 04/14 13:11,2006 04/14 13:11,2006 04/14 23:15
2006 06/14 08:09,2006 06/14 08:09,2006 06/14 16:25
2006 07/09 20:40,2006 07/10 17:45,2006 07/11 17:45
2006 08/19 09:38,2006 08/20 13:55,2006 08/21 17:02
2006 08/30 20:38,2006 08/30 20:38,2006 09/01 07:12
2006 09/30 02:52,2006 09/30 08:23,2006 09/30 22:03
2006 11/01 21:21,2006 11/01 21:21,2006 11/02 14:22
2006 11/18 07:11,2006 11/18 07:11,2006 11/20 04:47
2006 11/29 02:58,2006 11/29 05:16,2006 11/30 09:35
2006 12/14 13:51,2006 12/14 22:36,2006 12/15 13:40
2006 12/16 17:34,2006 12/17 00:25,2006 12/17 19:11
2007 01/14 11:31,2007 01/14 11:44,2007 01/15 07:45
2007 01/15 20:49,2007 01/15 20:49,2007 01/16 04:44
2007 03/29 15:04,2007 03/29 15:04,2007 03/30 00:02
2007 05/21 22:40,2007 05/21 22:45,2007 05/22 13:25
2007 06/08 05:45,2007 06/08 05:45,2007 06/09 05:15
2007 11/19 17:22,2007 11/20 00:33,2007 11/20 11:31
2007 12/25 16:19,2007 12/25 16:19,2007 12/26 09:35
2008 05/23 01:12,2008 05/23 01:12,2008 05/23 10:46
2008 09/03 16:33,2008 09/03 16:33,2008 09/04 03:49
2008 09/17 00:43,2008 09/17 03:57,2008 09/18 08:09
2008 12/04 11:59,2008 12/04 16:47,2008 12/05 10:47
2008 12/17 03:35,2008 12/17 03:35,2008 12/17 15:35
2009 01/02 02:49,2009 01/02 04:48,2009 01/02 17:16
2009 01/26 05:02,2009 01/26 05:02,2009 01/26 15:21
2009 02/03 19:21,2009 02/04 01:12,2009 02/04 19:40
2009 03/11 22:04,2009 03/12 01:12,2009 03/13 01:40
2009 04/05 16:04,2009 04/05 17:02,2009 04/06 04:48
2009 04/22 11:16,2009 04/22 14:09,2009 04/22 20:37
2009 06/03 13:40,2009 06/03 20:52,2009 06/05 05:31
2009 06/27 11:02,2009 06/27 17:59,2009 06/28 20:24
2009 07/21 02:53,2009 07/21 04:48,2009 07/22 03:36
2009 09/10 10:19,2009 09/10 10:19,2009 09/10 19:26
2009 09/30 00:44,2009 09/30 06:59,2009 09/30 19:11
2009 10/29 01:26,2009 10/29 01:26,2009 10/29 23:45
2009 11/01 10:04,2009 11/01 10:04,2009 11/02 08:20
2009 11/14 10:47,2009 11/14 10:47,2009 11/15 11:45
2009 12/12 04:47,2009 12/12 19:26,2009 12/14 04:47
2010 01/01 22:04,2010 01/02 00:14,2010 01/03 09:06
2010 02/07 18:04,2010 02/07 19:11,2010 02/09 05:42
2010 03/23 22:29,2010 03/23 22:33,2010 03/24 15:36
2010 04/05 07:55,2010 04/05 11:59,2010 04/06 16:48
2010 04/11 12:20,2010 04/11 21:36,2010 04/12 14:12
2010 05/18 02:23,2010 05/18 04:04,2010 05/19 07:26
2010 05/28 01:55,2010 05/28 19:12,2010 05/29 17:58
2010 06/21 03:35,2010 06/21 06:28,2010 06/22 12:43
2010 08/03 17:05,2010 08/04 02:52,2010 08/05 00:56
2010 09/15 02:24,2010 09/15 02:24,2010 09/16 11:58
2010 09/25 11:45,2010 09/25 13:11,2010 09/26 08:09
2010 10/11 05:45,2010 10/11 05:45,2010 10/11 18:28
2010 10/31 02:09,2010 10/31 05:16,2010 11/01 20:38
2010 12/19 20:35,2010 12/19 22:33,2010 12/20 22:04
2011 01/24 06:43,2011 01/24 10:33,2011 01/25 22:04
2011 02/18 19:50,2011 02/18 19:55,2011 02/20 21:35
2011 03/29 15:12,2011 03/29 23:59,2011 04/01 14:51
2011 04/23 00:01,2011 04/23 00:01,2011 04/24 13:11
2011 04/29 09:07,2011 04/29 13:55,2011 04/29 20:52
2011 05/28 00:14,2011 05/28 05:31,2011 05/28 22:47
2011 06/04 20:06,2011 06/05 01:12,2011 06/05 18:13
2011 06/17 02:09,2011 06/17 05:16,2011 06/19 07:11
2011 06/30 13:26,2011 06/30 18:43,2011 07/01 05:16
2011 07/03 19:12,2011 07/03 19:12,2011 07/04 19:12
2011 09/17 02:57,2011 09/17 15:35,2011 09/18 21:06
2011 10/05 06:46,2011 10/05 09:56,2011 10/07 02:06
2011 10/24 17:41,2011 10/25 00:21,2011 10/25 23:31
2011 11/01 08:09,2011 11/01 08:09,2011 11/01 22:04
2011 11/02 00:21,2011 11/02 03:35,2011 11/03 04:33
2011 11/04 20:27,2011 11/04 21:17,2011 11/05 20:09
2011 11/07 06:57,2011 11/07 16:19,2011 11/08 00:43
2011 11/11 03:01,2011 11/11 03:01,2011 11/12 05:02
2011 11/28 20:59,2011 11/29 19:40,2011 11/30 17:59
2012 01/21 04:02,2012 01/21 04:04,2012 01/22 06:56
2012 01/22 05:33,2012 01/22 11:24,2012 01/22 17:58
2012 02/14 07:11,2012 02/14 20:52,2012 02/16 04:47
2012 02/26 20:59,2012 02/27 17:59,2012 03/01 05:45
2012 03/08 10:32,2012 03/08 19:55,2012 03/11 07:26
2012 03/12 08:28,2012 03/12 16:19,2012 03/14 02:52
2012 03/15 12:35,2012 03/15 16:04,2012 03/16 14:10
2012 04/05 14:23,2012 04/05 19:41,2012 04/06 21:36
2012 04/11 06:28,2012 04/11 06:28,2012 04/12 03:35
2012 04/23 02:15,2012 04/23 16:48,2012 04/24 02:52
2012 05/03 00:59,2012 05/04 03:36,2012 05/05 11:22
2012 05/16 12:28,2012 05/16 16:04,2012 05/18 02:11
2012 06/11 02:52,2012 06/11 11:31,2012 06/12 05:16
2012 06/16 09:03,2012 06/16 22:01,2012 06/17 11:23
2012 07/08 02:10,2012 07/08 07:58,2012 07/10 01:41
2012 07/14 17:39,2012 07/15 06:14,2012 07/17 03:21
2012 08/12 12:37,2012 08/12 19:12,2012 08/13 05:01
2012 08/18 03:25,2012 08/18 19:12,2012 08/19 08:22
2012 08/30 15:35,2012 08/30 15:35,2012 08/31 05:30
2012 09/01 07:12,2012 09/01 07:12,2012 09/03 11:22
2012 09/04 22:02,2012 09/05 05:52,2012 09/05 17:44
2012 09/06 00:00,2012 09/06 02:23,2012 09/06 15:50
2012 09/12 19:55,2012 09/12 19:55,2012 09/13 15:20
2012 09/30 10:14,2012 09/30 12:14,2012 10/02 02:53
2012 10/08 04:12,2012 10/08 15:50,2012 10/09 17:17
2012 10/12 08:09,2012 10/12 18:29,2012 10/13 09:14
2012 10/31 14:28,2012 10/31 23:35,2012 11/02 05:21
2012 11/12 22:12,2012 11/13 08:23,2012 11/14 08:09
2012 11/23 20:51,2012 11/24 11:31,2012 11/25 10:47
2013 01/16 23:31,2013 01/17 14:52,2013 01/18 12:14
2013 01/18 22:47,2013 01/19 00:14,2013 01/19 16:47
2013 01/19 16:50,2013 01/19 22:47,2013 01/20 10:47
2013 03/17 05:21,2013 03/17 14:09,2013 03/19 16:04
2013 04/13 22:13,2013 04/14 17:02,2013 04/17 05:30
2013 04/30 08:52,2013 04/30 12:00,2013 05/01 07:12
2013 05/14 02:23,2013 05/14 06:00,2013 05/15 06:28
2013 06/06 02:09,2013 06/06 14:23,2013 06/08 00:00
2013 06/27 13:51,2013 06/28 02:23,2013 06/29 11:59
2013 07/04 17:17,2013 07/05 04:05,2013 07/07 14:24
2013 07/12 16:43,2013 07/12 20:24,2013 07/14 23:31
2013 09/01 06:14,2013 09/01 13:55,2013 09/02 01:56
2013 10/02 01:15,2013 10/02 15:35,2013 10/02 21:35
2013 10/03 00:00,2013 10/03 00:00,2013 10/03 14:52
2013 10/30 18:14,2013 10/30 18:14,2013 10/31 05:30
2013 11/08 21:07,2013 11/08 23:59,2013 11/09 06:14
2013 11/23 00:14,2013 11/23 04:47,2013 11/23 15:35
2013 11/30 20:23,2013 12/01 04:48,2013 12/03 03:21
2013 12/08 07:31,2013 12/08 16:47,2013 12/09 02:09
2013 12/14 16:47,2013 12/15 16:47,2013 12/16 05:30
2013 12/24 20:36,2013 12/25 04:47,2013 12/25 17:59
2014 02/05 12:50,2014 02/06 02:23,2014 02/07 16:03
2014 02/15 12:46,2014 02/16 00:43,2014 02/16 14:23
2014 02/18 05:59,2014 02/18 15:07,2014 02/19 09:35
2014 02/19 03:09,2014 02/19 03:09,2014 02/20 02:37
2014 04/05 09:58,2014 04/05 22:18,2014 04/07 14:24
2014 04/11 06:57,2014 04/11 06:57,2014 04/12 20:52
2014 04/20 10:20,2014 04/21 07:41,2014 04/22 06:12
2014 04/29 19:11,2014 04/29 19:11,2014 04/30 16:33
2014 06/07 16:30,2014 06/08 19:12,2014 06/10 16:46
2014 06/22 18:28,2014 06/22 18:28,2014 06/23 22:04
2014 06/29 16:47,2014 06/29 20:53,2014 06/30 11:15
2014 07/02 23:48,2014 07/03 03:07,2014 07/03 11:59
2014 08/19 05:49,2014 08/19 17:59,2014 08/21 19:09
2014 08/26 02:40,2014 08/27 03:07,2014 08/27 21:49
2014 09/12 15:17,2014 09/12 21:22,2014 09/14 11:38
2015 01/07 05:38,2015 01/07 06:28,2015 01/07 21:07
2015 03/28 03:36,2015 03/28 11:45,2015 03/29 14:24
2015 03/31 07:32,2015 03/31 17:57,2015 04/01 09:49
2015 04/09 09:09,2015 04/09 23:02,2015 04/11 09:36
2015 05/06 00:56,2015 05/06 16:48,2015 05/07 14:22
2015 05/08 02:52,2015 05/08 07:11,2015 05/09 10:33
2015 05/10 08:23,2015 05/10 11:59,2015 05/11 04:47
2015 06/22 18:07,2015 06/23 02:23,2015 06/24 13:03
2015 09/07 13:05,2015 09/07 23:31,2015 09/09 14:52
2015 10/06 21:35,2015 10/06 21:35,2015 10/07 10:03
2015 10/24 17:59,2015 10/25 13:11,2015 10/28 13:11
2015 11/06 17:46,2015 11/07 07:11,2015 11/08 16:47
2015 12/19 15:35,2015 12/20 13:40,2015 12/21 23:02
2016 01/19 03:31,2016 01/19 11:23,2016 01/20 14:19
2016 01/24 15:16,2016 01/25 01:11,2016 01/26 03:09
2016 03/05 06:08,2016 03/05 19:41,2016 03/06 14:44
2016 03/20 09:07,2016 03/20 14:38,2016 03/21 04:11
2016 04/13 15:48,2016 04/14 09:35,2016 04/15 10:08
2016 04/16 20:54,2016 04/17 07:08,2016 04/18 05:57
2016 07/20 02:53,2016 07/20 15:10,2016 07/22 15:31
2016 07/24 13:51,2016 07/25 03:23,2016 07/25 13:08
2016 08/02 07:52,2016 08/02 07:43,2016 08/03 06:23
2016 10/12 21:37,2016 10/13 06:27,2016 10/14 16:19
2016 11/04 09:23,2016 11/04 09:23,2016 11/05 18:27
2016 11/09 09:45,2016 11/10 01:30,2016 11/10 10:09
2017 04/04 04:46,2017 04/04 04:46,2017 04/04 14:50
2017 04/09 10:38,2017 04/09 10:38,2017 04/10 09:09
2017 04/13 12:39,2017 04/14 02:31,2017 04/15 11:07
2017 05/27 13:45,2017 05/27 22:50,2017 05/29 11:05
